商品名,税込価格(円),カロリー(kcal)
小エビのサラダ,350,198
チキンのサラダ,350,237
わかめのサラダ,350,169
コーンクリームスープ,150,159
冷たいパンプキンスープ,180,116
たまねぎのズッパ,300,270
田舎風ミネストローネ,300,179
フォッカチオ,150,241
ガーリックフォッカチオ,200,297
シナモンフォッカチオ,200,273
チーズフォッカチオ,250,317
タラコフォッカチオ,250,322
ライス,150,303
ターメリックライス,200,424
キャロットラぺ,200,92
バッファローモッツァレラのカプレーゼ,430,254
小エビのカクテル,280,124
蒸し鶏の香味ソース,280,125
ハモン・セラーノ,320,36
生ハムとバッファローモッツァレラの盛合せ,500,146
柔らか青豆の温サラダ,200,192
ほうれん草のソテー,200,223
ポップコーンシュリンプ,300,234
ポテトのグリル（ハッシュドポテト）,300,307
チョリソー（辛味ソーセージ）,400,358
辛味チキン,300,295
アロスティチーニ（ラムの串焼き）,400,188
エスカルゴのオーブン焼き,400,220
ムール貝のガーリック焼き,400,339
バッファローモッツァレラのマルゲリータピザ,400,539
ソーセージピザ,400,643
たっぷりコーンのピザ,400,568
野菜ときのこのピザ,400,580
タラコソースシシリー風,400,538
小エビのタラコソース,540,571
パルマ風スパゲッティ,400,726
ペンネアラビアータ（全粒粉）,430,420
ペペロンチーノ,300,582
半熟卵のぺペロンチーノ,350,665
ミートソースボロニア風,400,584
半熟卵のミートソースボロニア風,450,667
イカの墨入りセピアソース,500,596
スープ入り塩味ボンゴレ,500,675
カルボナーラ,500,773
半熟卵のカルボナーラ,550,850
きのことほうれん草のクリームスパゲッティ,600,846
ミラノ風ドリア,300,550
半熟卵のミラノ風ドリア,350,604
焼チーズ ミラノ風ドリア,350,666
タラコとポップコーンシュリンプのドリア,400,617
ポップコーンシュリンプとタラコのクリームグラタン（全粒粉）,430,591
ハンバーグステーキ,400,567
ディアボラ風ハンバーグ,500,654
イタリアンハンバーグ,500,714
若鶏のディアボラ風,500,683
柔らかチキンのチーズ焼き,500,716
ラムのグリル,870,362
ミックスグリル,650,702
ラムのランプステーキ,1090,357
ビーフステーキ,1090,374
トッピング粉チーズ,100,91
トッピング半熟卵,50,83
トッピング野菜ソース,100,132
やみつきスパイス,50,6
トッピング目玉焼き,50,78
ティラミスクラシコ,300,229
プリンとティラミスクラシコの盛合せ,500,452
イタリアンプリン,250,223
ミルクジェラート,250,121
ジェラート＆シナモンフォッカチオ,450,393
コーヒーゼリー＆ミルクジェラート,350,173
チョコレートケーキ,300,169
チョコレートケーキ＆ミルクジェラート,500,306
トリフアイスクリーム,350,171